status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,13,13,LR2xMJ4BfLc99Jc4X45_,gAaqN54BFOP5uam1PXch,Y,,b01b053514a6e0bc,b01b053514a6e0bc,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,14,14,Lh2xMJ4BfLc99Jc4X45_,gQaqN54BFOP5uam1PXch,Y,,4eb047d23122bfdf,4eb047d23122bfdf,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,15,15,Lx2xMJ4BfLc99Jc4X45_,ggaqN54BFOP5uam1PXch,Y,,2f826531bf41c1b7,2f826531bf41c1b7,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,16,16,MB2xMJ4BfLc99Jc4X45_,gwaqN54BFOP5uam1PXch,Y,,c6185d12ba9ea752,c6185d12ba9ea752,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,17,17,MR2xMJ4BfLc99Jc4X45_,hAaqN54BFOP5uam1PXch,Y,,2a205804ddc4af19,2a205804ddc4af19,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,18,18,Mh2xMJ4BfLc99Jc4X45_,hQaqN54BFOP5uam1PXch,Y,,0bd4e816b9b9021b,0bd4e816b9b9021b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,19,19,Mx2xMJ4BfLc99Jc4X45_,hgaqN54BFOP5uam1PXch,Y,,ce3471dc3601a45a,ce3471dc3601a45a,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,20,20,NB2xMJ4BfLc99Jc4X45_,hwaqN54BFOP5uam1PXch,Y,,e9fe06cbc402806d,e9fe06cbc402806d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,21,21,NR2xMJ4BfLc99Jc4X45_,iAaqN54BFOP5uam1PXch,Y,,923c42cfd887f48f,923c42cfd887f48f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,22,22,Nh2xMJ4BfLc99Jc4X45_,iQaqN54BFOP5uam1PXch,Y,,9b5a2bf0773ae75d,9b5a2bf0773ae75d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,23,23,Nx2xMJ4BfLc99Jc4X45_,igaqN54BFOP5uam1PXch,Y,,2a5ddc6848edc158,2a5ddc6848edc158,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,24,24,OB2xMJ4BfLc99Jc4X45_,iwaqN54BFOP5uam1PXch,Y,,0d6dda6fec9d0db4,0d6dda6fec9d0db4,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,25,25,OR2xMJ4BfLc99Jc4X45_,jAaqN54BFOP5uam1PXch,Y,,e048665e5638094c,e048665e5638094c,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,26,26,Oh2xMJ4BfLc99Jc4X45_,jQaqN54BFOP5uam1PXch,Y,,da9e4ba2ba3383a0,da9e4ba2ba3383a0,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,27,27,Ox2xMJ4BfLc99Jc4X45_,jgaqN54BFOP5uam1PXch,Y,,3a9e24db8d37dcff,3a9e24db8d37dcff,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,28,28,PB2xMJ4BfLc99Jc4X45_,jwaqN54BFOP5uam1PXch,Y,,e6fe7832b16f68f7,e6fe7832b16f68f7,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,29,29,PR2xMJ4BfLc99Jc4X45_,kAaqN54BFOP5uam1PXch,Y,,d5482d04d81eac7b,d5482d04d81eac7b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,30,30,Ph2xMJ4BfLc99Jc4X45_,kQaqN54BFOP5uam1PXch,Y,,d6ca62aabb3b31e1,d6ca62aabb3b31e1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,31,31,Px2xMJ4BfLc99Jc4X45_,kgaqN54BFOP5uam1PXch,Y,,c8f61b18c9f56d9c,c8f61b18c9f56d9c,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,32,32,QB2xMJ4BfLc99Jc4X45_,kwaqN54BFOP5uam1PXch,Y,,d1d1ac9c18fab9a6,d1d1ac9c18fab9a6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,33,33,QR2xMJ4BfLc99Jc4X45_,lAaqN54BFOP5uam1PXch,Y,,c8038e19470f11aa,c8038e19470f11aa,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,34,34,Qh2xMJ4BfLc99Jc4X45_,lQaqN54BFOP5uam1PXch,Y,,180878fb7309889d,180878fb7309889d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,35,35,Qx2xMJ4BfLc99Jc4X45_,lgaqN54BFOP5uam1PXch,Y,,046ad2e683c96121,046ad2e683c96121,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,36,36,RB2xMJ4BfLc99Jc4X45_,lwaqN54BFOP5uam1PXch,Y,,86f18a6a00c0daf6,86f18a6a00c0daf6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,37,37,RR2xMJ4BfLc99Jc4X45_,mAaqN54BFOP5uam1PXch,Y,,872e1bad5d7f07fa,872e1bad5d7f07fa,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,38,38,Rh2xMJ4BfLc99Jc4X45_,mQaqN54BFOP5uam1PXch,Y,,ae9de41cb06f714b,ae9de41cb06f714b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,39,39,Rx2xMJ4BfLc99Jc4X45_,mgaqN54BFOP5uam1PXch,Y,,16c817239fa87de0,16c817239fa87de0,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,40,40,SB2xMJ4BfLc99Jc4X45_,mwaqN54BFOP5uam1PXch,Y,,229f965e38489484,229f965e38489484,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,41,41,SR2xMJ4BfLc99Jc4X45_,nAaqN54BFOP5uam1PXch,Y,,e9f6b56177c2fbe9,e9f6b56177c2fbe9,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,42,42,Sh2xMJ4BfLc99Jc4X45_,nQaqN54BFOP5uam1PXch,Y,,ecddb56195faf9e3,ecddb56195faf9e3,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,43,43,Sx2xMJ4BfLc99Jc4X45_,ngaqN54BFOP5uam1PXch,Y,,24710d7d43279c55,24710d7d43279c55,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,44,44,TB2xMJ4BfLc99Jc4X45_,nwaqN54BFOP5uam1PXch,Y,,c339431d61c7eaf2,c339431d61c7eaf2,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,45,45,TR2xMJ4BfLc99Jc4X45_,oAaqN54BFOP5uam1PXch,Y,,e2f1809f7585d57e,e2f1809f7585d57e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,46,46,Th2xMJ4BfLc99Jc4X45_,oQaqN54BFOP5uam1PXch,Y,,5c7abb09aed6db6b,5c7abb09aed6db6b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,47,47,Tx2xMJ4BfLc99Jc4X45_,ogaqN54BFOP5uam1PXch,Y,,fde43229544b7d1f,fde43229544b7d1f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,48,48,UB2xMJ4BfLc99Jc4X45_,owaqN54BFOP5uam1PXch,Y,,62ad6936122cffd8,62ad6936122cffd8,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,49,49,UR2xMJ4BfLc99Jc4X45_,pAaqN54BFOP5uam1PXch,Y,,945d33ae756479fa,945d33ae756479fa,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,50,50,Uh2xMJ4BfLc99Jc4X45_,pQaqN54BFOP5uam1PXch,Y,,eda224a31815d43b,eda224a31815d43b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,51,51,Ux2xMJ4BfLc99Jc4X45_,pgaqN54BFOP5uam1PXch,Y,,45289f16b7672579,45289f16b7672579,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,52,52,VB2xMJ4BfLc99Jc4X45_,pwaqN54BFOP5uam1PXch,Y,,a3bc3dc4df15e853,a3bc3dc4df15e853,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,53,53,VR2xMJ4BfLc99Jc4X45_,qAaqN54BFOP5uam1PXch,Y,,bc070fe9a55388c6,bc070fe9a55388c6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,54,54,Vh2xMJ4BfLc99Jc4X45_,qQaqN54BFOP5uam1PXch,Y,,98eb184abc6528fe,98eb184abc6528fe,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,55,55,Vx2xMJ4BfLc99Jc4X45_,qgaqN54BFOP5uam1PXch,Y,,7f1fc9116d075620,7f1fc9116d075620,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,56,56,WB2xMJ4BfLc99Jc4X45_,qwaqN54BFOP5uam1PXch,Y,,299bb73aa4baf2e1,299bb73aa4baf2e1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,57,57,WR2xMJ4BfLc99Jc4X45_,rAaqN54BFOP5uam1PXch,Y,,29239829c3c7fd49,29239829c3c7fd49,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,58,58,Wh2xMJ4BfLc99Jc4X45_,rQaqN54BFOP5uam1PXch,Y,,cbddccfaff87b82e,cbddccfaff87b82e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,59,59,Wx2xMJ4BfLc99Jc4X45_,rgaqN54BFOP5uam1PXch,Y,,35b58e77fd916f7f,35b58e77fd916f7f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,60,60,XB2xMJ4BfLc99Jc4X45_,rwaqN54BFOP5uam1PXch,Y,,41cdd1d7aa8c6999,41cdd1d7aa8c6999,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,61,61,XR2xMJ4BfLc99Jc4X45_,sAaqN54BFOP5uam1PXch,Y,,1b143c189328d454,1b143c189328d454,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,62,62,Xh2xMJ4BfLc99Jc4X45_,sQaqN54BFOP5uam1PXch,Y,,ff9ef6e2787040cd,ff9ef6e2787040cd,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,63,63,Xx2xMJ4BfLc99Jc4X45_,sgaqN54BFOP5uam1PXch,Y,,d6e9af2e2688ea9b,d6e9af2e2688ea9b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,64,64,YB2xMJ4BfLc99Jc4X45_,swaqN54BFOP5uam1PXch,Y,,8b43208b6b02924d,8b43208b6b02924d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,65,65,YR2xMJ4BfLc99Jc4X45_,tAaqN54BFOP5uam1PXch,Y,,72a6a2cb15374f2d,72a6a2cb15374f2d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,66,66,Yh2xMJ4BfLc99Jc4X45_,tQaqN54BFOP5uam1PXch,Y,,47362d770119d42f,47362d770119d42f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,67,67,Yx2xMJ4BfLc99Jc4X45_,tgaqN54BFOP5uam1PXch,Y,,384bf807788a86e1,384bf807788a86e1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,68,68,ZB2xMJ4BfLc99Jc4X45_,twaqN54BFOP5uam1PXci,Y,,590937308df581c6,590937308df581c6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,69,69,ZR2xMJ4BfLc99Jc4X45_,uAaqN54BFOP5uam1PXci,Y,,2d470511285d3d02,2d470511285d3d02,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,70,70,Zh2xMJ4BfLc99Jc4X45_,uQaqN54BFOP5uam1PXci,Y,,c954799b0a0f6b4a,c954799b0a0f6b4a,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,71,71,Zx2xMJ4BfLc99Jc4X45_,ugaqN54BFOP5uam1PXci,Y,,7798e5746677e3e2,7798e5746677e3e2,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,72,72,aB2xMJ4BfLc99Jc4X45_,uwaqN54BFOP5uam1PXci,Y,,e75c607de29381fe,e75c607de29381fe,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,73,73,aR2xMJ4BfLc99Jc4X45_,vAaqN54BFOP5uam1PXci,Y,,b04771f7b24e6f0e,b04771f7b24e6f0e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,74,74,ah2xMJ4BfLc99Jc4X45_,vQaqN54BFOP5uam1PXci,Y,,44645972e5b37145,44645972e5b37145,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,75,75,ax2xMJ4BfLc99Jc4X45_,vgaqN54BFOP5uam1PXci,Y,,7db25e9beb586885,7db25e9beb586885,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,76,76,bB2xMJ4BfLc99Jc4X45_,vwaqN54BFOP5uam1PXci,Y,,f1b0be93786d4ef6,f1b0be93786d4ef6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,77,77,bR2xMJ4BfLc99Jc4X45_,wAaqN54BFOP5uam1PXci,Y,,ad29b57baa881a4a,ad29b57baa881a4a,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,78,78,bh2xMJ4BfLc99Jc4X45_,wQaqN54BFOP5uam1PXci,Y,,f5e4b1a40a7ac218,f5e4b1a40a7ac218,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,79,79,bx2xMJ4BfLc99Jc4X45_,wgaqN54BFOP5uam1PXci,Y,,ae63b8a30cd895e2,ae63b8a30cd895e2,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,80,80,cB2xMJ4BfLc99Jc4X45_,wwaqN54BFOP5uam1PXci,Y,,e2f311a3facb45bf,e2f311a3facb45bf,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,81,81,cR2xMJ4BfLc99Jc4X45_,xAaqN54BFOP5uam1PXci,Y,,6213970fdbc3c5f0,6213970fdbc3c5f0,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,82,82,ch2xMJ4BfLc99Jc4X45_,xQaqN54BFOP5uam1PXci,Y,,46cafaba61c23e36,46cafaba61c23e36,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,83,83,cx2xMJ4BfLc99Jc4X45_,xgaqN54BFOP5uam1PXci,Y,,4548ad59b73cbb71,4548ad59b73cbb71,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,84,84,dB2xMJ4BfLc99Jc4X45_,xwaqN54BFOP5uam1PXci,Y,,688e9d4fd259d6a9,688e9d4fd259d6a9,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,85,85,dR2xMJ4BfLc99Jc4X45_,yAaqN54BFOP5uam1PXci,Y,,0b331c0ac43a1811,0b331c0ac43a1811,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,86,86,dh2xMJ4BfLc99Jc4X45_,yQaqN54BFOP5uam1PXci,Y,,eba7eebf610602d0,eba7eebf610602d0,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,87,87,dx2xMJ4BfLc99Jc4X45_,ygaqN54BFOP5uam1PXci,Y,,a0526d2e9282f9a9,a0526d2e9282f9a9,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,88,88,eB2xMJ4BfLc99Jc4X45_,ywaqN54BFOP5uam1PXci,Y,,98d219f10bd7ceb7,98d219f10bd7ceb7,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,89,89,eR2xMJ4BfLc99Jc4X45_,zAaqN54BFOP5uam1PXci,Y,,4cc39dccef9bce0c,4cc39dccef9bce0c,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,90,90,eh2xMJ4BfLc99Jc4X45_,zQaqN54BFOP5uam1PXci,Y,,c0096b03edd41c8f,c0096b03edd41c8f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,91,91,ex2xMJ4BfLc99Jc4X45_,zgaqN54BFOP5uam1PXci,Y,,97f5493e8561dab2,97f5493e8561dab2,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,92,92,fB2xMJ4BfLc99Jc4X45_,zwaqN54BFOP5uam1PXci,Y,,15d5f13be6941afb,15d5f13be6941afb,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,93,93,fR2xMJ4BfLc99Jc4X45_,0AaqN54BFOP5uam1PXci,Y,,3cb3054e4070f311,3cb3054e4070f311,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,94,94,fh2xMJ4BfLc99Jc4X45_,0QaqN54BFOP5uam1PXci,Y,,705916a825ecd8c5,705916a825ecd8c5,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,95,95,fx2xMJ4BfLc99Jc4X45_,0gaqN54BFOP5uam1PXci,Y,,9c417e5bfd3c62b5,9c417e5bfd3c62b5,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,96,96,gB2xMJ4BfLc99Jc4X45_,0waqN54BFOP5uam1PXci,Y,,83f64fcfbab447fd,83f64fcfbab447fd,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,97,97,gR2xMJ4BfLc99Jc4X45_,1AaqN54BFOP5uam1PXci,Y,,fec375e2a0c0dd57,fec375e2a0c0dd57,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,98,98,gh2xMJ4BfLc99Jc4X45_,1QaqN54BFOP5uam1PXci,Y,,e9c7e31a38637566,e9c7e31a38637566,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
